prompt,user_query,gold_label,predicted_label,match
"Classify a banking-related user query into a single given intent.

User query:
where can I get the info for my funds
",where can I get the info for my funds,verify_source_of_funds,balance_not_updated_after_bank_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
is there a fee for swift transfer
",is there a fee for swift transfer,top_up_by_bank_transfer_charge,charged_fee,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I have a disposable card but it does not work?
",I have a disposable card but it does not work?,virtual_card_not_working,card_not_working,FALSE
"Classify a banking-related user query into a single given intent.

User query:
there is a transfer pending.
",there is a transfer pending.,pending_transfer,pending_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What do I do if I can't get my card out of the ATM?
",What do I do if I can't get my card out of the ATM?,card_swallowed,card_swallowed,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Can my PIN be changed in any cash machine?
",Can my PIN be changed in any cash machine?,change_pin,atm_support,FALSE
"Classify a banking-related user query into a single given intent.

User query:
How can I change my old pin to a new one?
",How can I change my old pin to a new one?,change_pin,pin_blocked,FALSE
"Classify a banking-related user query into a single given intent.

User query:
When can I expect the transfer to arrive in my account?
",When can I expect the transfer to arrive in my account?,transfer_timing,pending_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
What do I need in regards to identification?
",What do I need in regards to identification?,verify_my_identity,verify_my_identity,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Please sort your top up! My top up has been pending for an hour already. Can you please make it go through as soon as possible. I really need the money.
",Please sort your top up! My top up has been pending for an hour already. Can you please make it go through as soon as possible. I really need the money.,pending_top_up,top_up_by_card_charge,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Where can I find my PIN? I haven't gotten it yet.
",Where can I find my PIN? I haven't gotten it yet.,get_physical_card,pin_blocked,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Do I have to go to an actual bank to change my PIN?
",Do I have to go to an actual bank to change my PIN?,change_pin,pin_blocked,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Please cancel my last transaction.
",Please cancel my last transaction.,cancel_transfer,cancel_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I have been charged twice for the same thing!
",I have been charged twice for the same thing!,transaction_charged_twice,chargeback,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Are there any ATM's near me that accept this card?
",Are there any ATM's near me that accept this card?,atm_support,atm_support,TRUE
"Classify a banking-related user query into a single given intent.

User query:
My PIN tries have run out. Now what?
",My PIN tries have run out. Now what?,pin_blocked,pin_blocked,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Can cash be used in physical locations to top up?
",Can cash be used in physical locations to top up?,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,TRUE
"Classify a banking-related user query into a single given intent.

User query:
There is a record of payment I never submitted on the app.
",There is a record of payment I never submitted on the app.,card_payment_not_recognised,card_payment_fee_charged,FALSE
"Classify a banking-related user query into a single given intent.

User query:
How can I prove I am me?
",How can I prove I am me?,verify_my_identity,verify_my_identity,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I didn't cancel my card payment.
",I didn't cancel my card payment.,reverted_card_payment?,reverted_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
The exchange rate was wrong in the foreign country I got cash in.
",The exchange rate was wrong in the foreign country I got cash in.,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Is there something wrong with the ATM? It would not let me pull cash out of my account.
",Is there something wrong with the ATM? It would not let me pull cash out of my account.,declined_cash_withdrawal,declined_cash_withdrawal,TRUE
"Classify a banking-related user query into a single given intent.

User query:
what are your exchange rates at?
",what are your exchange rates at?,exchange_rate,exchange_rate,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Tell me why my card payment would be reverted.
",Tell me why my card payment would be reverted.,reverted_card_payment?,reverted_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?
","I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",failed_transfer,failed_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How long do transfers take, mine just says pending?
","How long do transfers take, mine just says pending?",pending_transfer,pending_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Will you be able to exchange to EUR?
",Will you be able to exchange to EUR?,fiat_currency_support,fiat_currency_support,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How come when I tried to pay contactless at the bus it didnt work?
",How come when I tried to pay contactless at the bus it didnt work?,contactless_not_working,contactless_not_working,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Would it be possible to open up an account for children?
",Would it be possible to open up an account for children?,age_limit,age_limit,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Where can I order a card when I am in China?
",Where can I order a card when I am in China?,card_about_to_expire,country_support,FALSE
"Classify a banking-related user query into a single given intent.

User query:
How do I get my card out of the ATM?
",How do I get my card out of the ATM?,card_swallowed,card_swallowed,TRUE
"Classify a banking-related user query into a single given intent.

User query:
The cheque I deposited isn't showing in my account
",The cheque I deposited isn't showing in my account,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Hi, would you please activate my card?
","Hi, would you please activate my card?",activate_my_card,activate_my_card,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I made a check deposit but the cash hasn't arrived in my account yet.
",I made a check deposit but the cash hasn't arrived in my account yet.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Hey I am standing in front of an ATM here, it only gave me 10 pounds even though I wanted to withdraw 30! Seems like the app has 30 pounds, what do I do??
","Hey I am standing in front of an ATM here, it only gave me 10 pounds even though I wanted to withdraw 30! Seems like the app has 30 pounds, what do I do??",wrong_amount_of_cash_received,wrong_amount_of_cash_received,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Where are the cards transported to?
",Where are the cards transported to?,order_physical_card,card_delivery_estimate,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I tried to withdraw cash and got declined, why is that?
","I tried to withdraw cash and got declined, why is that?",declined_cash_withdrawal,declined_cash_withdrawal,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why do I see a random withdrawal in my app?
",Why do I see a random withdrawal in my app?,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?
","Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",wrong_amount_of_cash_received,wrong_amount_of_cash_received,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why was my cash withdrawal cancelled at the ATM?
",Why was my cash withdrawal cancelled at the ATM?,declined_cash_withdrawal,declined_cash_withdrawal,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?
","Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice,pending_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
My card payment's cancelled
",My card payment's cancelled,reverted_card_payment?,reverted_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Why has my top up been returned?
",Why has my top up been returned?,top_up_reverted,top_up_reverted,TRUE
"Classify a banking-related user query into a single given intent.

User query:
My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money
",My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money,cash_withdrawal_not_recognised,lost_or_stolen_card,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I have not received my card and it's been a week, what do I do?
","I have not received my card and it's been a week, what do I do?",card_arrival,card_arrival,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How do I verify my identity online
",How do I verify my identity online,verify_my_identity,verify_my_identity,TRUE
"Classify a banking-related user query into a single given intent.

User query:
If there isn't a lot of money left, will it automatically top-up money?
","If there isn't a lot of money left, will it automatically top-up money?",automatic_top_up,automatic_top_up,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Where is the transfer that I did?
",Where is the transfer that I did?,balance_not_updated_after_bank_transfer,pending_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I need to make several disposable cards per day.
",I need to make several disposable cards per day.,disposable_card_limits,disposable_card_limits,TRUE
"Classify a banking-related user query into a single given intent.

User query:
The past few times I've been to the ATM, I was charged a withdrawal fee. Have your policies changed regarding fees?
","The past few times I've been to the ATM, I was charged a withdrawal fee. Have your policies changed regarding fees?",cash_withdrawal_charge,cash_withdrawal_charge,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I haven't received my card.
",I haven't received my card.,card_arrival,card_arrival,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Do you accept all cards and currencies?
",Do you accept all cards and currencies?,supported_cards_and_currencies,supported_cards_and_currencies,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Is it possible for me to change my PIN number?
",Is it possible for me to change my PIN number?,change_pin,pin_blocked,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I keep trying to make a payment, but it doesn't work.
","I keep trying to make a payment, but it doesn't work.",declined_card_payment,declined_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What's the reason for needing to verify my identity?
",What's the reason for needing to verify my identity?,why_verify_identity,why_verify_identity,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay
","How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",balance_not_updated_after_bank_transfer,pending_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I would really like a physical card.
",I would really like a physical card.,order_physical_card,get_physical_card,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?
","I transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?",pending_transfer,pending_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why is my transfer pending?
",Why is my transfer pending?,pending_transfer,pending_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What is the process to get a new card when your old one expires?
",What is the process to get a new card when your old one expires?,card_about_to_expire,card_about_to_expire,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Shouldn't my new card be here by now?
",Shouldn't my new card be here by now?,card_arrival,card_arrival,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Do I get Visa or Mastercard?
",Do I get Visa or Mastercard?,visa_or_mastercard,visa_or_mastercard,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I just checked my account on the App and there is a payment on there that I did not make.
",I just checked my account on the App and there is a payment on there that I did not make.,card_payment_not_recognised,card_payment_fee_charged,FALSE
"Classify a banking-related user query into a single given intent.

User query:
What factors effect the exchange rate?
",What factors effect the exchange rate?,exchange_rate,exchange_rate,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Is there a limit for top ups?
",Is there a limit for top ups?,top_up_limits,top_up_limits,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer?
",I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer?,failed_transfer,declined_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Can I use as many top-ups as I want?
",Can I use as many top-ups as I want?,top_up_limits,top_up_limits,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why hasn't my balance been updated from the check deposit I made?
",Why hasn't my balance been updated from the check deposit I made?,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What are the guidelines for the disposable cards?
",What are the guidelines for the disposable cards?,disposable_card_limits,disposable_card_limits,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Can this app take my salary?
",Can this app take my salary?,receiving_money,receiving_money,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I got a new address and need to change my old one.
",I got a new address and need to change my old one.,edit_personal_details,edit_personal_details,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Where can I find the top up verification code?
",Where can I find the top up verification code?,verify_top_up,top_up_by_card_charge,FALSE
"Classify a banking-related user query into a single given intent.

User query:
how soon will my card arrive?
",how soon will my card arrive?,card_delivery_estimate,card_delivery_estimate,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How can I exchange to EUR?
",How can I exchange to EUR?,fiat_currency_support,exchange_via_app,FALSE
"Classify a banking-related user query into a single given intent.

User query:
i have yet to get my pin
",i have yet to get my pin,get_physical_card,card_arrival,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I had a payment reverted and would like to figure out why.
",I had a payment reverted and would like to figure out why.,reverted_card_payment?,reverted_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Why was my card declined in a shop?
",Why was my card declined in a shop?,declined_card_payment,declined_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Where are the cards delivered to
",Where are the cards delivered to,order_physical_card,card_arrival,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I did a transfer and I was charged a fee that shouldn't be there!
",I did a transfer and I was charged a fee that shouldn't be there!,transfer_fee_charged,charged_fee_wrong,FALSE
"Classify a banking-related user query into a single given intent.

User query:
What kind of costs are involved for exchanging currency?
",What kind of costs are involved for exchanging currency?,exchange_charge,exchange_charge,TRUE
"Classify a banking-related user query into a single given intent.

User query:
During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?
",During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?,transfer_fee_charged,charged_fee,FALSE
"Classify a banking-related user query into a single given intent.

User query:
My card stopped working after multiple transactions. Why?
",My card stopped working after multiple transactions. Why?,card_not_working,card_not_working,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Is it possible for me to track the card is was mailed to me?
",Is it possible for me to track the card is was mailed to me?,card_arrival,card_arrival,TRUE
"Classify a banking-related user query into a single given intent.

User query:
My card payment was not successful.
",My card payment was not successful.,declined_card_payment,declined_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here?
",Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here?,card_payment_not_recognised,compromised_card,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I made a check and cash deposit that wasn't credited to my account.
",I made a check and cash deposit that wasn't credited to my account.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,TRUE
"Classify a banking-related user query into a single given intent.

User query:
how can i get it to add money automatically while travelling
",how can i get it to add money automatically while travelling,automatic_top_up,automatic_top_up,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I attempted to complete a topup, and I thought all was well, but now the money is gone again. Has there been a glitch?
","I attempted to complete a topup, and I thought all was well, but now the money is gone again. Has there been a glitch?",top_up_reverted,top_up_reverted,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Can I choose from either Visa or Mastercard?
",Can I choose from either Visa or Mastercard?,visa_or_mastercard,visa_or_mastercard,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I need to know why a money transfer is available.
",I need to know why a money transfer is available.,pending_transfer,pending_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What are the restrictions on the virtual cards?
",What are the restrictions on the virtual cards?,disposable_card_limits,disposable_card_limits,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How come the money from the merchant appeared back into my account?
",How come the money from the merchant appeared back into my account?,reverted_card_payment?,reverted_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Why isn't my cash deposit showing up in my account? I deposited it this morning.
",Why isn't my cash deposit showing up in my account? I deposited it this morning.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,TRUE
"Classify a banking-related user query into a single given intent.

User query:
limits on top ups
",limits on top ups,top_up_limits,top_up_limits,TRUE
"Classify a banking-related user query into a single given intent.

User query:
After reviewing my charges, I see I was charged a fee for a transfer I did, why?
","After reviewing my charges, I see I was charged a fee for a transfer I did, why?",transfer_fee_charged,charged_fee,FALSE
"Classify a banking-related user query into a single given intent.

User query:
What currencies can I use?
",What currencies can I use?,supported_cards_and_currencies,supported_cards_and_currencies,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I didn't get all the cash I asked for
",I didn't get all the cash I asked for,wrong_amount_of_cash_received,wrong_amount_of_cash_received,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why am I not allowed to add a certain beneficiary?
",Why am I not allowed to add a certain beneficiary?,beneficiary_not_allowed,beneficiary_not_allowed,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I don't recognize the direct debit payment from the app.
",I don't recognize the direct debit payment from the app.,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why was I charged an extra fee when doing a transfer?
",Why was I charged an extra fee when doing a transfer?,transfer_fee_charged,charged_fee,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Why was I charged this extra fee while doing a transfer?
",Why was I charged this extra fee while doing a transfer?,transfer_fee_charged,charged_fee,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Why is their a charge pending on my card still?
",Why is their a charge pending on my card still?,pending_card_payment,pending_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.
",What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,pending_transfer,pending_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why was there an extra charge when I transferred money?
",Why was there an extra charge when I transferred money?,transfer_fee_charged,charged_fee,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Why are my transfers getting declined?
",Why are my transfers getting declined?,declined_transfer,declined_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?
",I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?,reverted_card_payment?,reverted_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Can you give me a virtual card?
",Can you give me a virtual card?,getting_virtual_card,getting_virtual_card,TRUE
"Classify a banking-related user query into a single given intent.

User query:
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.
",A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,cancel_transfer,cancel_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I have a strange transaction for £1 on my statement, what is that?
","I have a strange transaction for £1 on my statement, what is that?",extra_charge_on_statement,extra_charge_on_statement,TRUE
"Classify a banking-related user query into a single given intent.

User query:
My refund has not arrived, and I am unsure why. Who do I contact?
","My refund has not arrived, and I am unsure why. Who do I contact?",Refund_not_showing_up,refund_not_received,FALSE
"Classify a banking-related user query into a single given intent.

User query:
How do I go about cancelling a transaction?
",How do I go about cancelling a transaction?,cancel_transfer,cancel_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How long does it take for something to be delivered to the U.S?
",How long does it take for something to be delivered to the U.S?,card_delivery_estimate,card_delivery_estimate,TRUE
"Classify a banking-related user query into a single given intent.

User query:
My card hasn't came in the mail yet?
",My card hasn't came in the mail yet?,card_arrival,card_arrival,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What should I do once my card expires?
",What should I do once my card expires?,card_about_to_expire,card_about_to_expire,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Can I use your app to exchange between USD and GBP
",Can I use your app to exchange between USD and GBP,exchange_via_app,exchange_via_app,TRUE
"Classify a banking-related user query into a single given intent.

User query:
In my account I noticed my ATM withdrawal is still pending
",In my account I noticed my ATM withdrawal is still pending,pending_cash_withdrawal,pending_cash_withdrawal,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I withdrew cash and I think the exchange rate is wrong.
",I withdrew cash and I think the exchange rate is wrong.,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Is a physical card also available
",Is a physical card also available,order_physical_card,get_physical_card,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I found my card again. Can I put it back into the app?
",I found my card again. Can I put it back into the app?,card_linking,card_linking,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What are the reasons why a card payment would be declined?
",What are the reasons why a card payment would be declined?,declined_card_payment,declined_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Let me know what the steps for the identity checks are
",Let me know what the steps for the identity checks are,verify_my_identity,verify_my_identity,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Can you tell me why my card payment did not work?
",Can you tell me why my card payment did not work?,declined_card_payment,declined_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
The top-up did not go through.
",The top-up did not go through.,top_up_failed,top_up_failed,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How is the exchange rate calculated?
",How is the exchange rate calculated?,exchange_rate,exchange_rate,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why did the funds for one of my purchase come back to my account?
",Why did the funds for one of my purchase come back to my account?,reverted_card_payment?,reverted_card_payment,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Is the fee with my cash withdrawal a mistake?
",Is the fee with my cash withdrawal a mistake?,cash_withdrawal_charge,cash_withdrawal_charge,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why was my ATM withdrawal cancelled?
",Why was my ATM withdrawal cancelled?,declined_cash_withdrawal,declined_cash_withdrawal,TRUE
"Classify a banking-related user query into a single given intent.

User query:
After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?
",After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?,pending_card_payment,pending_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
What am i missing to verify my id?
",What am i missing to verify my id?,unable_to_verify_identity,verify_my_identity,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Top up did not work on the app.
",Top up did not work on the app.,top_up_failed,top_up_failed,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I'm still waiting on my identity verification.
",I'm still waiting on my identity verification.,unable_to_verify_identity,verify_my_identity,FALSE
"Classify a banking-related user query into a single given intent.

User query:
What's the limit on total number of cards I can have?
",What's the limit on total number of cards I can have?,getting_spare_card,getting_spare_card,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I must make several disposable cards every day.
",I must make several disposable cards every day.,disposable_card_limits,disposable_card_limits,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Can you please explain the topping up transfer process?
",Can you please explain the topping up transfer process?,transfer_into_account,topping_up_by_bank_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?
",My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,card_payment_wrong_exchange_rate,charged_exchange_rate_wrong,FALSE
"Classify a banking-related user query into a single given intent.

User query:
If I bought something I didn't like, can I get a refund?
","If I bought something I didn't like, can I get a refund?",request_refund,chargeback,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I did a cash deposit to my account, but I am not seeing it on my statement.
","I did a cash deposit to my account, but I am not seeing it on my statement.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Am I charged for receiving money?
",Am I charged for receiving money?,top_up_by_bank_transfer_charge,charged_fee,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I just looked over my statement and I don't recognize the name of a card payment.
",I just looked over my statement and I don't recognize the name of a card payment.,card_payment_not_recognised,card_payment_fee_charged,FALSE
"Classify a banking-related user query into a single given intent.

User query:
How can I tell the source for my available funds?
",How can I tell the source for my available funds?,verify_source_of_funds,balance_not_updated_after_bank_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Whats the maximum disposable virtual cards?
",Whats the maximum disposable virtual cards?,disposable_card_limits,disposable_card_limits,TRUE
